tick,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.accelz
4979,0.002483091317117,0.00098034273833,0.001568822190166,0,0,0,0,0.996719181537628
4981,-0.000993515481241,0.002490063197911,0.000133208595798,0,0,0,0,0.997130334377289
4983,-0.004014880396426,0.003755091689527,-0.005386279895902,0,0,0,0,0.997932255268097
4985,-0.001748884562403,0.00072748499224,-0.009231993928552,0,0,0,0,0.99902218580246
4987,0.00099073140882,-0.005953818559647,-0.005950259976089,0,0,0,0,1.00043034553528
4989,0.000275941332802,-0.008509507402778,-0.000850580283441,0,0,0,0,1.00159537792206
4991,-0.000880849605892,-0.006239059846848,-0.000416957336711,0,0,0,0,1.00214874744415
4993,-0.002902461448684,-0.003140385262668,-0.00257954816334,0,0,0,0,1.0021960735321
4995,-0.004542212467641,-0.001414087717421,-0.003666657255963,0,0,0,0,1.00189483165741
4997,-0.004190550651401,-0.001565120997839,-0.005587614141405,0,0,0,0,1.00137221813202
4999,-0.000763977353927,-0.001609069178812,-0.006230661645532,0,0,0,0,1.00113308429718
5001,0.003539076307789,-0.001098333043046,-0.00273100216873,0,0,0,0,1.00140964984894
5003,0.003653867403045,-0.003519846126437,-0.001250523841009,0,0,0,0,1.00182282924652
5005,0.001649041194469,-0.00364350550808,-0.002105826279148,0,0,0,0,1.00225579738617
5007,-0.000236560619669,-0.002866132184863,-0.000808351847809,0,0,0,0,1.00245118141174
5009,1.91109102161136E-05,-0.000363275088603,-0.000533995917067,0,0,0,0,1.00191569328308
5011,0.002852464560419,0.004278694279492,-0.002666395157576,0,0,0,0,1.00103068351746
5013,0.00560510577634,0.0077795968391,-0.003361186245456,0,0,0,0,1.00035417079926
5015,0.003518683603033,0.00949530582875,-0.004085679538548,0,0,0,0,0.999982118606567
5017,-0.000763320829719,0.007357848808169,-0.003544908249751,0,0,0,0,0.99990439414978
5019,-0.000304884393699,0.002868886571378,-0.00143432628829,0,0,0,0,0.999741494655609
5021,0.001644821488298,-0.001244786428288,-0.002853722544387,0,0,0,0,0.999517977237701
5023,0.002359508536756,-9.27744040382095E-05,-0.004394614137709,0,0,0,0,0.999695122241974
5025,0.001919546863064,0.003210274502635,-0.00286322995089,0,0,0,0,1.00031888484955
5027,-7.28730228729546E-05,0.00309710111469,-0.002841835841537,0,0,0,0,1.00088739395142
5029,-0.002220093505457,0.002497616689652,-0.004519914276898,0,0,0,0,1.00136983394623
5031,-0.001173175754957,0.001968893455341,-0.007031062152237,0,0,0,0,1.00161516666412
5033,0.001093852100894,0.000585440022405,-0.008109114132822,0,0,0,0,1.00134944915771
5035,0.002219015965238,3.64782463293523E-05,-0.004159912467003,0,0,0,0,1.00099813938141
5037,0.001778504461981,0.001901893527247,-0.002138186013326,0,0,0,0,1.00118112564087
5039,0.000125064849271,0.003081853734329,-0.003687381511554,0,0,0,0,1.00148856639862
5041,0.000432965811342,0.001598891802132,-0.002210927661508,0,0,0,0,1.00133848190308
5043,0.000318113801768,0.004200262948871,-0.000626658787951,0,0,0,0,1.00104463100433
5045,-0.00186430697795,0.005941393319517,-0.000417253235355,0,0,0,0,1.00114583969116
5047,-0.002736054593697,0.001057883026078,-0.00184505188372,0,0,0,0,1.00105798244476
5049,-0.002406092360616,-0.001904656295665,-0.002588008064777,0,0,0,0,1.00044894218445
5051,-0.00054227601504,0.001655416330323,-0.002045459114015,0,0,0,0,0.999899685382843
5053,0.001488318783231,0.003689196892083,-0.001340099610388,0,0,0,0,0.999656438827515
