tick,ctrlMel.r_roll,ctrlMel.r_pitch,ctrlMel.r_yaw,ctrlMel.cmd_thrust,ctrlMel.cmd_roll,ctrlMel.cmd_pitch,ctrlMel.cmd_yaw,ctrlMel.accelz
54676,1.07666683197021,-0.077864073216915,0.080135233700276,36185,7866,-952,2092,1.04426431655884
54678,1.0737818479538,-0.083027422428131,0.080128572881222,36185,8896,-481,2092,1.0448123216629
54680,1.06754660606384,-0.088788539171219,0.080629318952561,35517,8830,-269,2091,1.03887486457825
54682,1.06021642684937,-0.093194723129273,0.082554183900356,35517,9086,-316,2114,1.0265908241272
54684,1.05750262737274,-0.093469485640526,0.081595428287983,35517,8157,-687,2096,1.01593542098999
54686,1.06561589241028,-0.095811828970909,0.080538265407086,35517,6912,-433,2083,1.00805008411407
54688,1.07250452041626,-0.103802308440208,0.079740338027477,35517,6368,333,2065,1.00482964515686
54690,1.08003211021423,-0.112967021763325,0.08048989623785,32835,6153,634,2074,1.01061344146729
54692,1.0949342250824,-0.115085124969482,0.084534130990505,32835,4580,21,2111,1.01709878444672
54694,1.11084580421448,-0.111680381000042,0.089225694537163,32835,4160,-598,2167,1.01875042915344
54696,1.11876285076141,-0.105047471821308,0.091822363436222,32835,4251,-1011,2190,1.01624357700348
54698,1.11955094337463,-0.104666106402874,0.095489360392094,32835,4948,-393,2234,1.00752866268158
54700,1.11690294742584,-0.101979032158852,0.098016284406185,30825,4794,-640,2257,0.99371725320816
54702,1.11554205417633,-0.093235984444618,0.101651914417744,30825,4692,-1420,2300,0.985970795154572
54704,1.11934816837311,-0.083762317895889,0.107098065316677,30825,3545,-1655,2362,0.985837697982788
54706,1.12964153289795,-0.075222760438919,0.116157293319702,30825,2690,-1733,2470,0.984021663665772
54708,1.13842749595642,-0.077960647642613,0.126548290252686,30825,2099,-526,2592,0.984472870826721
54710,1.13943493366241,-0.082337722182274,0.132386058568954,29250,2857,-275,2662,0.979473412036896
54712,1.13831961154938,-0.085545592010021,0.135797128081322,29250,2526,-300,2699,0.969746291637421
54714,1.1422598361969,-0.077530927956104,0.140091836452484,29250,1942,-1583,2751,0.957398176193237
54716,1.14955615997314,-0.053039845079184,0.150134444236755,29250,887,-3714,2874,0.943521082401276
54718,1.15680944919586,-0.057469729334116,0.162264212965965,29250,746,-734,3020,0.939444422721863
54720,1.15415835380554,-0.083283357322216,0.166226625442505,29250,1213,1935,3067,0.931999146938324
54722,1.15287554264069,-0.081013076007366,0.164842665195465,29040,1102,-918,3051,0.918859243392944
54724,1.15493202209473,-0.061301000416279,0.163054212927818,29040,152,-3049,3032,0.903971016407013
54726,1.16036510467529,-0.028599632903934,0.160290360450745,29040,-294,-5002,2999,0.889235019683838
54728,1.17669498920441,-0.007837529294193,0.157081782817841,29040,-2294,-4239,2971,0.883115172386169
54730,1.18809330463409,-0.010438285768032,0.157206907868385,29040,-2029,-1851,2972,0.872718930244446
54732,1.19692742824554,-0.008156171999872,0.158380404114723,28838,-2547,-2403,2998,0.866134345531464
54734,1.20054352283478,0.009136307053268,0.157794252038002,28838,-2097,-4249,2991,0.859378755092621
54736,1.21656441688538,0.043422650545836,0.155880272388458,28838,-4266,-6680,2989,0.858079433441162
54738,1.2444988489151,0.063481099903584,0.155547574162483,28838,-6016,-5658,2985,0.852630496025085
54740,1.25803756713867,0.074319317936897,0.150603026151657,28838,-5479,-5012,2952,0.842585444450378
54742,1.26274740695953,0.092527635395527,0.147277638316154,28627,-4690,-6113,2912,0.831414878368378
54744,1.25884127616882,0.102778233587742,0.148288652300835,28627,-4385,-5595,2956,0.823620498180389
54746,1.25627887248993,0.111438803374767,0.150945827364922,28627,-4468,-5609,2987,0.819467902183533
54748,1.25760889053345,0.119233816862106,0.147645369172096,28627,-5520,-5760,2983,0.814023613929749
54750,1.2494865655899,0.130525171756744,0.141607403755188,28627,-4412,-6336,2910,0.804650902748108
