tick,ctrlMel.r_roll,ctrlMel.r_pitch,ctrlMel.r_yaw,ctrlMel.cmd_thrust,ctrlMel.cmd_roll,ctrlMel.cmd_pitch,ctrlMel.cmd_yaw,ctrlMel.accelz
55991,0.062533304095268,0.033717315644026,0.201572269201279,52000,2542,-5520,1943,1.29871213436127
55993,0.049940783530474,0.042520146816969,0.20331546664238,52000,2814,-6089,1964,1.30810880661011
55995,0.043410670012236,0.061804573982954,0.205674082040787,52000,2316,-7548,1992,1.31585013866425
55997,0.04177563264966,0.073969781398773,0.208961352705955,52000,1859,-7079,2032,1.3230357170105
55999,0.042893711477518,0.070054829120636,0.208167269825935,52000,1538,-5423,2022,1.32738673686981
56001,0.043424505740404,0.075139291584492,0.206083372235298,52000,1586,-6425,1997,1.33159339427948
56003,0.037969645112753,0.083652846515179,0.20830200612545,52000,2273,-6977,2024,1.33492112159729
56005,0.028021385893226,0.083489216864109,0.210658892989159,52000,2922,-6106,2052,1.33763432502747
56007,0.021422348916531,0.080581679940224,0.211491107940674,52000,2707,-5809,2062,1.34217131137848
56009,0.020069012418389,0.083085365593433,0.212404578924179,52000,2210,-6400,2073,1.3481627702713
56011,0.020013432949782,0.091573268175125,0.212166652083397,52000,2070,-7209,2070,1.35531508922577
56013,0.011632710695267,0.096039488911629,0.21155621111393,52000,3071,-6896,2062,1.36172747612
56015,-0.008963622152805,0.096855163574219,0.21174918115139,52000,4710,-6590,2064,1.365229845047
56017,-0.033309444785118,0.094849541783333,0.214618325233459,52000,5572,-6268,2099,1.36972570419312
56019,-0.056325897574425,0.091388501226902,0.218272104859352,52000,5932,-6093,2142,1.37396383285522
56021,-0.074675500392914,0.102061718702316,0.218777745962143,52000,5832,-7720,2148,1.37632501125336
56023,-0.085025869309902,0.122660972177982,0.218493163585663,52000,5288,-9182,2143,1.38142168521881
56025,-0.093511372804642,0.124529838562012,0.220230177044868,52000,5271,-7346,2164,1.38524270057678
56027,-0.109874352812767,0.11466533690691,0.224095404148102,52000,6449,-6029,2209,1.38705492019653
56029,-0.129279837012291,0.114375241100788,0.229402646422386,52000,7141,-6980,2273,1.38898992538452
56031,-0.139692544937134,0.131290704011917,0.233636394143105,52000,6529,-9102,2322,1.39419162273407
56033,-0.135370418429375,0.155764028429985,0.232367724180222,52000,4969,-10347,2307,1.39921009540558
56035,-0.130010962486267,0.163744151592255,0.229888871312141,52000,4832,-8939,2275,1.40025520324707
56037,-0.139503374695778,0.155476585030556,0.228856489062309,52000,6507,-7149,2263,1.40100908279419
56039,-0.150318443775177,0.145953074097633,0.229805469512939,52000,6939,-6905,2272,1.40266072750092
56041,-0.148756057024002,0.146868079900742,0.233746334910393,52000,5670,-7967,2320,1.40437376499176
56043,-0.139946281909943,0.156279295682907,0.239005610346794,52000,4848,-9082,2381,1.40272855758667
56045,-0.136356487870216,0.148701295256615,0.243726462125778,52000,5298,-7231,2437,1.40164911746979
56047,-0.137145936489105,0.126299500465393,0.242886587977409,52000,5828,-5359,2426,1.4026083946228
56049,-0.131999999284744,0.115858256816864,0.243039667606354,52000,5131,-6346,2427,1.40107929706574
56051,-0.124114848673344,0.127498522400856,0.24638320505619,52000,4769,-8845,2466,1.40101134777069
56053,-0.116059437394142,0.15251462161541,0.246011003851891,52000,4591,-10683,2461,1.40280163288116
56055,-0.110058978199959,0.169156566262245,0.242309063673019,52000,4737,-10259,2415,1.40109038352966
56057,-0.103660143911839,0.165486484766006,0.240145832300186,52000,4569,-8154,2389,1.39920926094055
56059,-0.098583564162254,0.138915792107582,0.242803007364273,52000,4655,-5396,2420,1.40133714675903
56061,-0.099796503782272,0.101429462432861,0.246877551078796,52000,5308,-3554,2468,1.40500509738922
56063,-0.100169375538826,0.077275536954403,0.249931380152702,52000,5288,-4433,2504,1.41208255290985
56065,-0.088107131421566,0.07925109565258,0.255720973014832,52000,3803,-7086,2573,1.4195396900177
56067,-0.069519273936749,0.097671456634998,0.259901344776154,52000,2819,-9139,2622,1.42498254776001
56069,-0.055260207504034,0.109542742371559,0.2610724568367,52000,2966,-8721,2637,1.42544722557068
56071,-0.050941735506058,0.100131116807461,0.259237170219421,52000,3904,-6447,2614,1.42627084255219
56073,-0.049575489014387,0.087748594582081,0.256617903709412,52000,4171,-5902,2582,1.42623913288116
56075,-0.039700292050839,0.091733165085316,0.255950212478638,52000,3146,-7657,2573,1.42437791824341
56077,-0.027229897677898,0.099808670580387,0.257439255714416,52000,2637,-8227,2591,1.42594563961029
56079,-0.025011073797941,0.092670068144798,0.258016407489777,47577,3632,-6602,2597,1.42779970169067
56081,-0.02929019741714,0.076885335147381,0.259509921073914,47577,4367,-5422,2615,1.42942607402802
56083,-0.023238182067871,0.075477436184883,0.26074492931366,47577,3226,-6861,2630,1.43139016628265
56085,-0.007240018807352,0.072429992258549,0.259808659553528,47577,1912,-6637,2618,1.43170583248138
56087,0.007419462781399,0.06034542247653,0.259743303060532,47577,1748,-5513,2617,1.42912530899048
56089,0.014869548380375,0.056681264191866,0.25923964381218,32166,2320,-6282,2611,1.42397725582123
56091,0.015564314089716,0.064804419875145,0.259640336036682,32166,2973,-7647,2616,1.42138493061066
56093,0.015584440901876,0.065770842134953,0.262706995010376,32166,3040,-6951,2653,1.41814124584198
56095,0.02155470661819,0.046978648751974,0.263218104839325,32166,2314,-4614,2659,1.41395282745361
56097,0.035282116383314,0.024559883400798,0.260432362556458,32166,1263,-3803,2626,1.40870463848114
56099,0.051555521786213,0.017124589532614,0.25684317946434,32166,655,-5150,2583,1.40091300010681
56101,0.059658959507942,0.004567345138639,0.255233585834503,29250,1310,-4386,2564,1.3916951417923
56103,0.060323338955641,-0.01729553565383,0.258567601442337,29250,2009,-2995,2605,1.38162279129028
56105,0.064647011458874,-0.023006604984403,0.265034466981888,29250,1556,-4496,2682,1.36715161800385
56107,0.070242576301098,-0.012074525468052,0.270443320274353,29250,1280,-6357,2748,1.34950435161591
56109,0.077244326472282,0.001499831327237,0.272645264863968,29250,999,-6893,2774,1.33001279830933
56111,0.087436631321907,0.005401499103755,0.273059666156769,29041,430,-5992,2780,1.31224238872528
56113,0.102505266666412,0.000649109424558,0.274857133626938,29041,-358,-5031,2802,1.29622960090637
56115,0.115572810173035,-0.006120008416474,0.277170032262802,29041,-482,-4676,2831,1.28020167350769
56117,0.121715158224106,-0.012354008853436,0.278042584657669,29041,86,-4605,2841,1.26552033424377
56119,0.12318093329668,-0.020157754421234,0.278458714485168,29041,456,-4266,2848,1.24961864948273
56121,0.129695758223534,-0.027865594252944,0.280675441026688,28839,-178,-4121,2874,1.23343729972839
56123,0.139082476496696,-0.032415483146906,0.281551331281662,28839,-730,-4314,2886,1.21863889694214
56125,0.14230740070343,-0.034568324685097,0.27895376086235,28839,-179,-4511,2855,1.20462822914124
56127,0.147631734609604,-0.036923095583916,0.276980489492416,28839,-577,-4411,2833,1.18984603881836
56129,0.164034977555275,-0.037189692258835,0.276293486356735,28839,-2013,-4614,2825,1.17965459823608
56131,0.175235062837601,-0.043696660548449,0.274316489696503,28636,-1814,-3823,2803,1.17184674739838
56133,0.179166555404663,-0.049948412925005,0.272180378437042,28636,-1166,-3724,2777,1.16496634483337
56135,0.185510069131851,-0.052227422595024,0.27236020565033,28636,-1635,-4033,2781,1.15735363960266
56137,0.187569931149483,-0.057710234075785,0.274061471223831,28636,-1247,-3603,2802,1.14758718013763
56139,0.193477109074593,-0.061574976891279,0.275877118110657,28636,-1855,-3641,2826,1.13448798656464
56141,0.19127668440342,-0.071530520915985,0.279503136873245,28434,-1001,-2833,2869,1.12047326564789
56143,0.176001504063606,-0.087728247046471,0.283078223466873,28434,514,-1826,2914,1.10643529891968
56145,0.168368011713028,-0.094051904976368,0.284566938877106,28434,-97,-2687,2932,1.09258735179901
56147,0.170559853315353,-0.087920255959034,0.280814409255981,28434,-1219,-3998,2889,1.07784307003021
56149,0.178922697901726,-0.085062950849533,0.27663853764534,28434,-2004,-3728,2839,1.06499862670898
56151,0.191092416644096,-0.089115247130394,0.274231344461441,28434,-2733,-2897,2812,1.05441892147064
56153,0.199371680617332,-0.087418802082539,0.272361606359482,28232,-2510,-3505,2790,1.0427154302597
56155,0.1933753490448,-0.089841037988663,0.271793812513351,28232,-1068,-2986,2785,1.03090512752533
56157,0.178831681609154,-0.104162141680717,0.269731640815735,28232,77,-1510,2760,1.02124190330505
56159,0.17312091588974,-0.106888264417648,0.268617480993271,28232,-787,-2547,2749,1.00882637500763
56161,0.176119700074196,-0.092433370649815,0.269825726747513,28232,-1717,-4554,2763,0.998270094394684
56163,0.176886931061745,-0.083303108811379,0.267287135124207,28030,-1607,-4151,2734,0.994410395622253
56165,0.17439928650856,-0.088590696454048,0.26207634806633,28030,-1232,-2604,2672,0.996671378612518
56167,0.163925930857658,-0.097822979092598,0.261148780584335,28030,-315,-1960,2662,0.999249696731567
56169,0.160542741417885,-0.089699260890484,0.267096698284149,28030,-956,-3858,2734,0.993890941143036
