Timestamp,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.accelz
266982,-0.01255177333951,-0.017986541613937,0.029710955917835,54174.51171875,4875,879,2775,0.981443405151367
267002,0.039535786956549,-0.082344695925713,-0.001763788401149,54193.0625,3637,1369,2477,0.999210476875305
267022,0.030137056484819,-0.103548936545849,0.007370982784778,54125.01171875,3036,1565,2712,0.977927446365356
267042,0.05944125726819,-0.045242782682181,0.030791049823165,54168.5859375,1725,1694,2825,1.0010724067688
267062,0.065241329371929,-0.063065446913242,0.026146529242396,54142.68359375,2289,3053,2717,0.976561069488525
267082,0.081033401191235,-0.060767702758312,-0.008076390251517,54197.046875,-1043,2960,2640,1.00400924682617
267102,0.083705544471741,-0.030738795176149,0.012552556581795,54164.6171875,1819,1700,2827,0.996355354785919
267122,0.101820439100266,0.008020489476621,-0.003488380461931,54437.390625,3105,701,2583,0.983109176158905
267142,0.100725039839745,-0.00287512387149,-0.030837137252092,54412.78125,3200,2196,2542,0.996325254440308
267162,0.137624859809875,0.032673884183169,-0.017809871584177,54446.64453125,1196,1171,2613,0.998726189136505
267182,0.091930039227009,-0.004072272684425,0.002370882546529,54436.30078125,622,1920,2694,1.00546479225159
267202,0.084262244403362,-0.112142339348793,-0.035385638475418,54443.41796875,-877,3384,2432,0.983002841472626
267222,0.072119392454624,-0.078569047152996,-0.031557999551296,54853.42578125,1471,2155,2444,1.00124478340149
267242,0.057181514799595,-0.073769509792328,-0.023913990706205,54895.6484375,4552,2484,2462,0.980466604232788
267262,-0.000683799036779,0.001619378686883,-0.040188111364842,54948.93359375,1602,1361,2428,1.01768124103546
267282,-0.002993924310431,0.006159381940961,-0.026114389300346,54914.09765625,2005,1135,2468,0.988422214984894
267302,-0.003489570459351,0.013038722798228,-0.010454077273607,54930.109375,944,1787,2520,1.01412737369537
267322,0.037122506648302,-0.035261936485767,-0.034084253013134,54954.0546875,382,2416,2338,0.997287809848785
267342,0.062014024704695,-0.012195783667266,-0.025695076212287,54973.8515625,705,1813,2444,1.00601541996002
267362,-0.00765940034762,-0.025358511134982,-0.014907726086676,54928.359375,2989,3135,2448,0.9970263838768
267382,0.021288920193911,-0.02602624706924,-0.0291718095541,54947.375,2159,3555,2319,0.997007429599762
267402,-0.071374714374542,-0.00947351846844,-0.032666824758053,54925.828125,2108,1358,2391,1.02211236953735
267422,-0.064522847533226,0.065564893186092,-0.00193712383043,54930.19921875,2348,1539,2510,0.987894177436829
267442,-0.02729906141758,0.022898266091943,-0.03118984028697,54930.03125,2249,1656,2309,1.01298820972443
267462,-0.035430427640677,0.087197586894035,0.006701167207211,54874.82421875,1554,2198,2616,0.989410579204559
267482,-0.068906016647816,0.027630040422082,-0.021345518529415,54896.0234375,515,2024,2344,1.01498675346375
267502,-0.03075684979558,0.057368919253349,0.005892510525882,54843.17578125,3515,1989,2652,0.996263682842254
267522,-0.062061510980129,0.071098923683167,0.011683270335198,54893.28125,4418,3311,2600,0.996535301208496
267542,0.005475919693708,0.012533801607788,-0.013965351507068,54823.48828125,3351,3962,2467,0.999845564365387
267562,-0.03828227519989,0.026999142020941,0.012284634634853,54832.03515625,2532,2542,2724,1.00979053974152
267582,-0.058885239064694,0.058613363653421,0.018878221511841,54758.30078125,1371,3030,2749,1.00787937641144
267602,-0.045806095004082,0.017028499394655,0.004876600578427,54723.00390625,2593,3374,2665,0.993047416210175
267622,-0.052181985229254,0.071372516453266,0.056120056658983,54886.5625,2162,1060,3053,1.01171004772186
267642,-0.053322818130255,0.062043409794569,0.00820058491081,54833.19921875,763,729,2763,1.00255000591278
267662,0.033593039959669,0.026404624804854,0.0285465400666,54819.734375,1138,1873,2886,1.0023078918457
267682,-0.038257159292698,0.066534534096718,0.054794952273369,54767.0703125,982,512,3121,0.988598465919495
267702,0.010920878499746,0.013516012579203,0.010287477634847,54799.3046875,2572,3455,2887,1.00937700271606
267722,0.006729461718351,-0.001257086754777,0.032570470124483,54691.1640625,5477,2506,3077,1.00653469562531
267742,-0.043447077274323,0.00935470033437,0.050796147435904,54675.25,3396,2658,3279,0.990669071674347
267762,0.010668586939573,0.028954902663827,0.004439614247531,54650.640625,149,3590,2953,1.0127739906311
267782,0.114781692624092,-0.0131432749331,0.013666733168066,54607.69140625,2395,1821,3021,0.990848064422607
267802,0.035584978759289,0.039165914058685,0.054056979715824,54585.6171875,932,402,3373,1.006840467453
267822,-0.003550763474777,-0.001054390799254,0.010022304952145,54722.75390625,628,2090,3076,1.00275552272797
267842,0.049724154174328,0.013890532776713,0.035026844590902,54707.42578125,4919,895,3305,0.994163513183594
267862,0.006171231623739,-0.017470024526119,0.024197906255722,54676.421875,2914,2868,3212,0.991565227508545
267882,0.080784521996975,-0.007712183985859,-0.017753213644028,54677.6484375,3339,2213,2955,0.994853079319
267902,0.038233418017626,-0.019314529374242,0.017408913001418,54648.62890625,3753,754,3240,1.02927935123444
267922,-0.020555444061756,-0.010986723005772,-0.006205717567354,54652.7890625,1483,2843,3076,0.989431858062744
267942,0.037952370941639,-0.064336821436882,-0.006648865994066,54624.921875,-466,1873,3092,1.01309847831726
